1
391.9305,180.8672,42.2748,42.2696
391.3589,180.1559,43.6823,44.4186
392.4000,179.8000,44.4000,45.0000
392.3056,180.3576,44.0640,44.1013
392.2078,179.4876,44.1521,45.0320
392.3041,179.5714,44.0318,44.6559
392.6619,179.0956,42.9372,45.3826
393.2109,179.9808,43.3648,44.1262
393.2976,179.0630,44.0069,45.0557
393.1587,179.3224,43.9331,45.0617
392.4463,179.1259,44.3512,45.4916
391.9288,179.0769,44.2723,45.3080
391.1009,179.1535,44.7702,45.0547
392.4171,179.6501,44.3042,44.5626
389.7271,179.0090,47.6087,44.6080
388.6781,178.1086,48.3505,45.5326
387.4366,177.6898,49.1714,45.2296
386.1496,176.7384,49.4322,45.5304
386.2395,176.8213,49.8566,45.4989
386.8138,176.0793,47.8965,45.8828
386.7184,175.4945,47.5229,46.1081
389.1572,176.4276,46.9363,45.4260
389.1768,176.6835,46.9687,44.9335
392.9124,177.2094,45.8646,44.6207
392.4447,178.1114,45.3318,43.0607
390.7519,177.4407,46.4688,43.6177
391.6108,177.8518,46.8290,43.3767
376.3351,177.1058,46.2611,40.2904
380.5424,178.0699,45.9592,38.9029
391.3537,178.9659,44.7413,40.3149
392.2857,179.0125,45.1816,40.3176
393.3743,178.8235,45.2326,40.4899
393.2927,179.2977,45.4250,40.2603
393.6306,178.9708,46.2635,41.3254
393.9722,179.0788,47.3873,41.5278
393.5486,179.0802,49.2784,41.2205
387.1491,178.6067,48.8133,41.0113
392.7704,179.5440,48.4328,41.4473
393.1483,179.6401,48.4850,41.3426
391.8085,179.4966,48.1868,42.3259
393.7743,180.4328,46.6467,41.8255
395.2739,180.8257,46.3245,41.0892
394.4488,181.4603,47.3717,40.2800
394.9108,181.2314,48.2730,39.4147
388.6136,181.1414,45.1738,41.5128
388.6569,181.0663,46.7752,41.8970
391.6000,181.0000,46.8000,42.0000
392.4355,182.3322,48.5343,40.5351
394.5288,182.7775,48.2514,39.8762
388.5535,181.4273,47.7224,41.4948
382.0045,182.4307,46.6614,38.2987
383.2108,182.1191,45.4687,37.5869
385.2887,181.4363,44.5565,39.5732
386.0117,181.6495,44.2115,39.8052
385.7390,182.1711,43.3866,39.2445
384.5152,182.7802,43.3532,38.8636
384.6970,182.6290,43.4479,39.7493
384.1742,183.6303,43.1724,38.0897
384.5238,183.7290,42.1273,37.9574
385.7759,183.9232,42.0173,38.2457
386.0595,184.4024,40.7466,38.1339
