1
715.9133,566.1165,839.7946,478.9214,669.4725,236.9349,545.5914,324.1299
713.5894,569.1928,849.7681,490.6816,696.4089,224.6738,560.2303,303.1850
683.7488,525.4457,825.8971,470.6737,718.9094,193.0053,576.7612,247.7773
754.0104,570.8528,884.9453,483.2497,713.8262,227.4848,582.8914,315.0879
735.1464,576.1652,879.0728,511.3000,752.3693,230.1582,608.4430,295.0234
814.5712,618.8445,937.7952,523.2837,751.1317,282.5807,627.9077,378.1416
792.8002,628.0425,920.4877,549.9024,767.8533,300.4810,640.1658,378.6211
742.2245,627.9936,879.7495,584.2430,794.2905,315.6059,656.7656,359.3565
713.8363,623.1702,854.4153,601.2102,811.5216,326.6075,670.9426,348.5675
693.9205,619.2994,834.3926,612.4273,820.9709,338.0338,680.4988,344.9059
675.2496,612.1200,813.0051,620.7380,829.8411,351.6512,692.0856,343.0332
659.9503,598.6098,791.4724,622.2071,837.5684,365.2966,706.0463,341.6994
625.8021,569.0571,744.3628,621.1976,846.2140,389.6059,727.6533,337.4654
607.8332,548.3912,717.6531,616.5672,850.8272,402.0497,741.0073,333.8738
597.1449,525.2229,697.0209,603.4632,849.8542,408.3699,749.9782,330.1296
583.1687,496.7559,671.1981,587.6632,848.7745,415.7109,760.7452,324.8037
584.0757,472.5659,661.1258,564.6004,840.9039,414.0947,763.8538,322.0603
637.1446,456.3441,728.5762,521.1469,855.1609,342.5485,763.7294,277.7458
627.0589,431.7171,708.1265,507.3978,855.9598,349.0442,774.8922,273.3635
623.1045,408.6156,693.0848,491.3877,854.7698,354.6917,784.7895,271.9198
615.1033,377.9739,670.2008,470.7186,851.3659,363.0945,796.2684,270.3498
607.3688,350.4812,650.1470,451.0889,846.6712,367.5287,803.8929,266.9211
613.1694,297.3954,625.6868,400.3832,826.8597,375.9337,814.3423,272.9460
621.6714,271.5291,618.2014,371.7700,814.0084,378.5496,817.4783,278.3088
631.0169,253.8971,616.2570,349.9537,803.8903,378.7866,818.6502,282.7300
645.9955,234.3075,617.9238,323.4129,791.9789,378.2484,820.0505,289.1430
655.1932,222.9851,619.0688,308.5125,786.1345,379.0779,822.2589,293.5506
685.8348,189.3359,624.0469,260.3130,762.6902,381.0083,824.4780,310.0312
699.7712,178.8789,629.7014,242.7959,754.5537,379.6687,824.6235,315.7517
714.8235,171.0535,637.3087,225.9136,744.4695,377.3291,821.9843,322.4689
729.9782,165.4170,646.1561,209.7961,732.8435,373.5320,816.6656,329.1529
746.1234,163.6770,657.6423,195.6446,720.0856,368.4810,808.5667,336.5134
706.7622,142.8087,623.8490,209.6206,754.3558,371.5814,837.2690,304.7695
724.8687,137.5829,631.0518,191.4707,736.3130,374.7303,830.1299,320.8425
747.8545,145.3906,648.3752,178.5509,713.1480,372.8707,812.6272,339.7104
760.9202,152.1465,656.8831,170.2674,692.2783,373.4902,796.3154,355.3693
773.3381,161.2434,666.0228,161.8311,667.1693,371.4572,774.4846,370.8694
660.9971,143.4763,602.8814,214.6207,741.8516,328.1429,799.9672,256.9985
698.2286,139.4098,616.0856,173.2825,682.2502,333.7384,764.3932,299.8657
677.4666,360.4201,774.7856,331.2986,717.9020,141.1985,620.5830,170.3201
638.1258,377.4341,744.4484,386.7137,762.5762,179.0270,656.2537,169.7475
583.9257,352.4435,678.8175,413.7913,798.6536,228.4337,703.7618,167.0859
575.1546,347.7132,663.9136,427.0994,818.9852,253.7216,730.2261,174.3355
576.1890,339.4076,652.7793,435.7376,840.9482,286.1303,764.3580,189.8003
584.6651,337.3842,648.4034,443.2954,855.2876,318.7928,791.5494,212.8816
598.4559,331.8871,638.6667,448.5926,866.6357,370.0479,826.4249,253.3425
610.6621,335.9286,635.9668,458.8611,876.0995,409.4337,850.7949,286.5011
641.9221,353.8812,634.4290,479.1716,879.1668,493.8102,886.6599,368.5198
655.9857,368.3160,635.7841,491.3347,876.0844,530.7975,896.2859,407.7788
674.1187,387.9240,637.0827,504.0226,863.8652,576.3690,900.9011,460.2704
808.1489,624.5077,919.2088,549.1510,772.0112,332.2094,660.9514,407.5661
792.6281,648.9021,910.9921,585.7491,787.6331,354.5399,669.2690,417.6929
824.7605,668.8541,933.5040,593.2593,785.8412,380.8425,677.0978,456.4373
842.1550,661.4493,945.6325,576.6478,779.9855,374.5171,676.5079,459.3187
859.8072,646.7734,956.4845,560.0814,787.1448,371.2340,690.4675,457.9260
870.7457,631.0958,964.7485,544.3968,795.3951,360.7738,701.3924,447.4727
883.7424,610.5280,975.5701,520.7819,800.2645,341.4074,708.4368,431.1535
891.1893,565.9492,984.3309,481.4171,819.2102,299.4761,726.0685,384.0082
901.4708,532.5377,994.8973,443.1996,820.3886,260.7022,726.9622,350.0403
903.6381,507.8778,1001.0391,416.4413,822.4316,226.1803,725.0307,317.6167
